Year,Period,labor force,employment,unemployment,unemployment rate
2020,Dec,193169(T),181465(T),11704(T),6.1(T)
2021,Jan,193257(T),180915(T),12342(T),6.4(T)
2021,Feb,195710(T),183966(T),11744(T),6.0(T)
2021,Mar,196162(T),184782(T),11380(T),5.8(T)
2021,Apr,197194(T),186414(T),10780(T),5.5(T)
2021,May,199183(T),188893(T),10290(T),5.2(T)
2021,Jun,200252(T),188794(T),11458(T),5.7(T)
2021,Jul,200181(T),189822(T),10359(T),5.2(T)
2021,Aug,200662(T),190981(T),9681(T),4.8(T)
2021,Sep,202703(T),194235(T),8468(T),4.2(T)
2021,Oct,202685(T),194300(T),8385(T),4.1(T)
2021,Nov,202056(T),194538(T),7518(T),3.7(T)
2021,Dec,200529(T),193525(T),7004(T),3.5(T)
2022,Jan,199871(T),192008(T),7863(T),3.9(T)
2022,Feb,201331(T),193707(T),7624(T),3.8(T)
2022,Mar,200907(T),194506(T),6401(T),3.2(T)
2022,Apr,200671(T),195175(T),5496(T),2.7(T)
2022,May,202837(T),197491(T),5346(T),2.6(T)
2022,Jun,202644(T),196719(T),5925(T),2.9(T)
2022,Jul,201976(T),196075(T),5901(T),2.9(T)
2022,Aug,202617(T),197157(T),5460(T),2.7(T)
2022,Sep,203578(T),198591(T),4987(T),2.4(T)
2022,Oct,203241(T),197940(T),5301(T),2.6(T)
2022,Nov,202900(T),197423(T),5477(T),2.7(T)
2022,Dec,201213(T),196154(T),5059(T),2.5(T)
2023,Jan,201265(T),195310(T),5955(T),3.0(T)
2023,Feb,203015(T),196389(T),6626(T),3.3(T)
2023,Mar,202372(T),196581(T),5791(T),2.9(T)
2023,Apr,203580(T),198566(T),5014(T),2.5(T)
2023,May,205522(T),199655(T),5867(T),2.9(T)
2023,Jun,206395(T),199221(T),7174(T),3.5(T)
2023,Jul,205917(T),199181(T),6736(T),3.3(T)
2023,Aug,206346(T),199333(T),7013(T),3.4(T)
2023,Sep,210201(T),203659(T),6542(T),3.1(T)
