Year,Period,labor force,employment,unemployment,unemployment rate
2015,Apr,1487682,1433290,54392,3.7
2015,May,1503802,1448831,54971,3.7
2015,Jun,1507528,1451378,56150,3.7
2015,Jul,1510419,1457130,53289,3.5
2015,Aug,1511664,1462632,49032,3.2
2015,Sep,1511359,1466332,45027,3
2015,Oct,1515402,1470277,45125,3
2015,Nov,1513600,1468275,45325,3
2015,Dec,1510165,1465555,44610,3
2016,Jan,1529209(T),1479837(T),49372(T),3.2(T)
2016,Feb,1542137(T),1490149(T),51988(T),3.4(T)
2016,Mar,1540638(T),1491295(T),49343(T),3.2(T)
2016,Apr,1543662(T),1498073(T),45589(T),3.0(T)
2016,May,1551591(T),1507422(T),44169(T),2.8(T)
2016,Jun,1564258(T),1514341(T),49917(T),3.2(T)
2016,Jul,1567298(T),1519168(T),48130(T),3.1(T)
2016,Aug,1566030(T),1520393(T),45637(T),2.9(T)
2016,Sep,1571165(T),1529194(T),41971(T),2.7(T)
2016,Oct,1573575(T),1532635(T),40940(T),2.6(T)
2016,Nov,1568249(T),1530461(T),37788(T),2.4(T)
2016,Dec,1558180(T),1520797(T),37383(T),2.4(T)
2017,Jan,1561899(T),1517467(T),44432(T),2.8(T)
2017,Feb,1573687(T),1531096(T),42591(T),2.7(T)
2017,Mar,1573539(T),1538541(T),34998(T),2.2(T)
2017,Apr,1578131(T),1545051(T),33080(T),2.1(T)
2017,May,1588717(T),1554008(T),34709(T),2.2(T)
2017,Jun,1610640(T),1569911(T),40729(T),2.5(T)
2017,Jul,1617296(T),1575508(T),41788(T),2.6(T)
2017,Aug,1616859(T),1574674(T),42185(T),2.6(T)
2017,Sep,1623573(T),1583562(T),40011(T),2.5(T)
2017,Oct,1617654(T),1576646(T),41008(T),2.5(T)
2017,Nov,1623329(T),1581595(T),41734(T),2.6(T)
2017,Dec,1613081(T),1571848(T),41233(T),2.6(T)
2018,Jan,1608958(T),1562299(T),46659(T),2.9(T)
2018,Feb,1633274(T),1582620(T),50654(T),3.1(T)
2018,Mar,1628152(T),1581980(T),46172(T),2.8(T)
2018,Apr,1629840(T),1586389(T),43451(T),2.7(T)
2018,May,1641364(T),1598518(T),42846(T),2.6(T)
2018,Jun,1659854(T),1607884(T),51970(T),3.1(T)
2018,Jul,1663325(T),1610427(T),52898(T),3.2(T)
2018,Aug,1651415(T),1601399(T),50016(T),3.0(T)
2018,Sep,1654363(T),1608292(T),46071(T),2.8(T)
2018,Oct,1660387(T),1614397(T),45990(T),2.8(T)
2018,Nov,1657674(T),1612009(T),45665(T),2.8(T)
2018,Dec,1649689(T),1603583(T),46106(T),2.8(T)
2019,Jan,1650053(T),1599146(T),50907(T),3.1(T)
2019,Feb,1665039(T),1616161(T),48878(T),2.9(T)
