Year,Period,labor force,employment,unemployment,unemployment rate
2020,Sep,366202(T),345123(T),21079(T),5.8(T)
2020,Oct,368029(T),347850(T),20179(T),5.5(T)
2020,Nov,369051(T),348023(T),21028(T),5.7(T)
2020,Dec,366608(T),342857(T),23751(T),6.5(T)
2021,Jan,368178(T),343692(T),24486(T),6.7(T)
2021,Feb,371499(T),347912(T),23587(T),6.3(T)
2021,Mar,372109(T),348667(T),23442(T),6.3(T)
2021,Apr,372124(T),349534(T),22590(T),6.1(T)
2021,May,375159(T),353441(T),21718(T),5.8(T)
2021,Jun,380017(T),355693(T),24324(T),6.4(T)
2021,Jul,378782(T),355945(T),22837(T),6.0(T)
2021,Aug,379468(T),358473(T),20995(T),5.5(T)
2021,Sep,380033(T),361318(T),18715(T),4.9(T)
2021,Oct,381694(T),363384(T),18310(T),4.8(T)
2021,Nov,382199(T),366009(T),16190(T),4.2(T)
2021,Dec,378346(T),363161(T),15185(T),4.0(T)
2022,Jan,379934(T),363549(T),16385(T),4.3(T)
2022,Feb,382110(T),366618(T),15492(T),4.1(T)
2022,Mar,380720(T),367558(T),13162(T),3.5(T)
2022,Apr,379284(T),368005(T),11279(T),3.0(T)
2022,May,381169(T),370174(T),10995(T),2.9(T)
2022,Jun,381130(T),369139(T),11991(T),3.1(T)
2022,Jul,379801(T),367278(T),12523(T),3.3(T)
2022,Aug,380422(T),368834(T),11588(T),3.0(T)
2022,Sep,382805(T),372018(T),10787(T),2.8(T)
2022,Oct,382440(T),371048(T),11392(T),3.0(T)
2022,Nov,383219(T),371647(T),11572(T),3.0(T)
2022,Dec,380187(T),369559(T),10628(T),2.8(T)
2023,Jan,383727(T),371219(T),12508(T),3.3(T)
2023,Feb,385902(T),372289(T),13613(T),3.5(T)
2023,Mar,384953(T),373160(T),11793(T),3.1(T)
2023,Apr,384696(T),374183(T),10513(T),2.7(T)
2023,May,387404(T),375405(T),11999(T),3.1(T)
2023,Jun,392011(T),377516(T),14495(T),3.7(T)
2023,Jul,392086(T),378229(T),13857(T),3.5(T)
2023,Aug,392361(T),378131(T),14230(T),3.6(T)
2023,Sep,392081(T),378904(T),13177(T),3.4(T)
2023,Oct,392167(T),378646(T),13521(T),3.4(T)
2023,Nov,395443(T),381527(T),13916(T),3.5(T)
2023,Dec,390622(T),376421(T),14201(T),3.6(T)
2024,Jan,391422(T),375500(T),15922(T),4.1(T)
2024,Feb,391967(T),375407(T),16560(T),4.2(T)
2024,Mar,391692(T),376942(T),14750(T),3.8(T)
2024,Apr,392024(T),377600(T),14424(T),3.7(T)
2024,May,392115(T),376881(T),15234(T),3.9(T)
2024,Jun,398179(T),380702(T),17477(T),4.4(T)
2024,Jul,399884(T),381101(T),18783(T),4.7(T)
2024,Aug,398382(T),379907(T),18475(T),4.6(T)
2024,Sep,400583(T),383386(T),17197(T),4.3(T)
2024,Oct,398819(T),381121(T),17698(T),4.4(T)
2024,Nov,399331(T),380480(T),18851(T),4.7(T)
2024,Dec,396607(T),378741(T),17866(T),4.5(T)
2025,Jan,398235,378260,19975,5
2025,Feb,397787,376785,21002,5.3
2025,Mar,395033,376604,18429,4.7
2025,Apr,398255,379752,18503,4.6
2025,May,397588(P),379606(P),17982(P),4.5(P)
,,,,,
