Year,Period,labor force,employment,unemployment,unemployment rate
2021,Jul,190103(T),180817(T),9286(T),4.9(T)
2021,Aug,189631(T),181028(T),8603(T),4.5(T)
2021,Sep,191403(T),183959(T),7444(T),3.9(T)
2021,Oct,191484(T),184119(T),7365(T),3.8(T)
2021,Nov,191736(T),185165(T),6571(T),3.4(T)
2021,Dec,190726(T),184574(T),6152(T),3.2(T)
2022,Jan,189589(T),182750(T),6839(T),3.6(T)
2022,Feb,192453(T),185880(T),6573(T),3.4(T)
2022,Mar,192122(T),186592(T),5530(T),2.9(T)
2022,Apr,191456(T),186680(T),4776(T),2.5(T)
2022,May,192069(T),187328(T),4741(T),2.5(T)
2022,Jun,191531(T),186139(T),5392(T),2.8(T)
2022,Jul,190968(T),185578(T),5390(T),2.8(T)
2022,Aug,190831(T),186064(T),4767(T),2.5(T)
2022,Sep,193312(T),188933(T),4379(T),2.3(T)
2022,Oct,192715(T),187981(T),4734(T),2.5(T)
2022,Nov,193091(T),188176(T),4915(T),2.5(T)
2022,Dec,191312(T),186899(T),4413(T),2.3(T)
2023,Jan,190902(T),185700(T),5202(T),2.7(T)
2023,Feb,194142(T),188170(T),5972(T),3.1(T)
2023,Mar,193638(T),188328(T),5310(T),2.7(T)
2023,Apr,192953(T),188264(T),4689(T),2.4(T)
2023,May,193406(T),187703(T),5703(T),2.9(T)
2023,Jun,193221(T),186213(T),7008(T),3.6(T)
2023,Jul,192632(T),186039(T),6593(T),3.4(T)
2023,Aug,192280(T),185572(T),6708(T),3.5(T)
2023,Sep,195337(T),189054(T),6283(T),3.2(T)
2023,Oct,194914(T),188372(T),6542(T),3.4(T)
2023,Nov,196130(T),189571(T),6559(T),3.3(T)
2023,Dec,193061(T),186454(T),6607(T),3.4(T)
2024,Jan,192597(T),185296(T),7301(T),3.8(T)
2024,Feb,194216(T),186624(T),7592(T),3.9(T)
2024,Mar,194213(T),187139(T),7074(T),3.6(T)
2024,Apr,193890(T),186958(T),6932(T),3.6(T)
2024,May,194272(T),186487(T),7785(T),4.0(T)
2024,Jun,193190(T),184461(T),8729(T),4.5(T)
2024,Jul,193163(T),184095(T),9068(T),4.7(T)
2024,Aug,192573(T),183568(T),9005(T),4.7(T)
2024,Sep,194723(T),186280(T),8443(T),4.3(T)
2024,Oct,194533(T),186010(T),8523(T),4.4(T)
2024,Nov,194736(T),185752(T),8984(T),4.6(T)
2024,Dec,193211(T),184910(T),8301(T),4.3(T)
2025,Jan,194187,185008,9179,4.7
2025,Feb,193654,183999,9655,5
2025,Mar,193921,184997,8924,4.6
2025,Apr,195353,186280,9073,4.6
2025,May,194378(P),185476(P),8902(P),4.6(P)
