Year,Period,labor force,employment,unemployment,unemployment rate
2016,Oct,153292(T),149076(T),4216(T),2.8(T)
2016,Nov,153284(T),149463(T),3821(T),2.5(T)
2016,Dec,151063(T),147273(T),3790(T),2.5(T)
2017,Jan,152186(T),147603(T),4583(T),3.0(T)
2017,Feb,154203(T),149837(T),4366(T),2.8(T)
2017,Mar,154100(T),150642(T),3458(T),2.2(T)
2017,Apr,156044(T),152789(T),3255(T),2.1(T)
2017,May,157170(T),153767(T),3403(T),2.2(T)
2017,Jun,156931(T),152888(T),4043(T),2.6(T)
2017,Jul,156922(T),152842(T),4080(T),2.6(T)
2017,Aug,158273(T),154208(T),4065(T),2.6(T)
2017,Sep,160453(T),156691(T),3762(T),2.3(T)
2017,Oct,162122(T),158210(T),3912(T),2.4(T)
2017,Nov,161353(T),157384(T),3969(T),2.5(T)
2017,Dec,159769(T),155884(T),3885(T),2.4(T)
2018,Jan,159905(T),155315(T),4590(T),2.9(T)
2018,Feb,162028(T),157022(T),5006(T),3.1(T)
2018,Mar,161380(T),156853(T),4527(T),2.8(T)
2018,Apr,162678(T),158495(T),4183(T),2.6(T)
2018,May,164659(T),160570(T),4089(T),2.5(T)
2018,Jun,164309(T),159314(T),4995(T),3.0(T)
2018,Jul,164568(T),159453(T),5115(T),3.1(T)
2018,Aug,164136(T),159277(T),4859(T),3.0(T)
2018,Sep,167165(T),162762(T),4403(T),2.6(T)
2018,Oct,168197(T),163717(T),4480(T),2.7(T)
2018,Nov,167793(T),163420(T),4373(T),2.6(T)
2018,Dec,165734(T),161289(T),4445(T),2.7(T)
2019,Jan,164839(T),159943(T),4896(T),3.0(T)
2019,Feb,166512(T),161697(T),4815(T),2.9(T)
2019,Mar,165609(T),161255(T),4354(T),2.6(T)
2019,Apr,166804(T),163038(T),3766(T),2.3(T)
2019,May,168109(T),164579(T),3530(T),2.1(T)
2019,Jun,167560(T),163195(T),4365(T),2.6(T)
2019,Jul,169018(T),164697(T),4321(T),2.6(T)
2019,Aug,168922(T),164750(T),4172(T),2.5(T)
2019,Sep,171679(T),167941(T),3738(T),2.2(T)
2019,Oct,173255(T),169278(T),3977(T),2.3(T)
2019,Nov,171901(T),167810(T),4091(T),2.4(T)
2019,Dec,170160(T),165967(T),4193(T),2.5(T)
2020,Jan,168956(T),163788(T),5168(T),3.1(T)
2020,Feb,170572(T),165028(T),5544(T),3.3(T)
2020,Mar,167522(T),161173(T),6349(T),3.8(T)
2020,Apr,161555(T),147229(T),14326(T),8.9(T)
2020,May,164339(T),147634(T),16705(T),10.2(T)
2020,Jun,166123(T),148181(T),17942(T),10.8(T)
2020,Jul,158980(T),148245(T),10735(T),6.8(T)
2020,Aug,161674(T),151734(T),9940(T),6.1(T)
2020,Sep,163925(T),153435(T),10490(T),6.4(T)
2020,Oct,167579(T),157488(T),10091(T),6.0(T)
2020,Nov,165560(T),155145(T),10415(T),6.3(T)
2020,Dec,164859(T),153942(T),10917(T),6.6(T)
2021,Jan,164957(T),153537(T),11420(T),6.9(T)
2021,Feb,165285(T),154141(T),11144(T),6.7(T)
2021,Mar,165251(T),154156(T),11095(T),6.7(T)
2021,Apr,166265(T),155709(T),10556(T),6.3(T)
2021,May,166608(T),156422(T),10186(T),6.1(T)
2021,Jun,167227(T),156002(T),11225(T),6.7(T)
2021,Jul,167662(T),157254(T),10408(T),6.2(T)
2021,Aug,168058(T),158435(T),9623(T),5.7(T)
2021,Sep,168725(T),160123(T),8602(T),5.1(T)
2021,Oct,172135(T),163791(T),8344(T),4.8(T)
2021,Nov,169163(T),161819(T),7344(T),4.3(T)
2021,Dec,169088(T),162174(T),6914(T),4.1(T)
2022,Jan,168883(T),161153(T),7730(T),4.6(T)
2022,Feb,169897(T),162604(T),7293(T),4.3(T)
2022,Mar,169212(T),162990(T),6222(T),3.7(T)
2022,Apr,167636(T),162358(T),5278(T),3.1(T)
2022,May,169692(T),164592(T),5100(T),3.0(T)
2022,Jun,169270(T),163723(T),5547(T),3.3(T)
2022,Jul,170127(T),164438(T),5689(T),3.3(T)
2022,Aug,171019(T),165742(T),5277(T),3.1(T)
2022,Sep,170631(T),165855(T),4776(T),2.8(T)
2022,Oct,172823(T),167734(T),5089(T),2.9(T)
2022,Nov,170377(T),165196(T),5181(T),3.0(T)
2022,Dec,170806(T),165851(T),4955(T),2.9(T)
2023,Jan,169210(T),163428(T),5782(T),3.4(T)
2023,Feb,172215(T),165815(T),6400(T),3.7(T)
2023,Mar,172312(T),166808(T),5504(T),3.2(T)
2023,Apr,172353(T),167632(T),4721(T),2.7(T)
2023,May,173788(T),168299(T),5489(T),3.2(T)
2023,Jun,174348(T),167646(T),6702(T),3.8(T)
2023,Jul,174504(T),168275(T),6229(T),3.6(T)
2023,Aug,176151(T),169629(T),6522(T),3.7(T)
2023,Sep,176670(T),170554(T),6116(T),3.5(T)
2023,Oct,177503(T),171198(T),6305(T),3.6(T)
2023,Nov,176079(T),169696(T),6383(T),3.6(T)
2023,Dec,174736(T),168150(T),6586(T),3.8(T)
2024,Jan,173093(T),165542(T),7551(T),4.4(T)
2024,Feb,175948(T),168072(T),7876(T),4.5(T)
2024,Mar,175844(T),168773(T),7071(T),4.0(T)
2024,Apr,176466(T),169727(T),6739(T),3.8(T)
2024,May,178450(T),171090(T),7360(T),4.1(T)
2024,Jun,178463(T),170172(T),8291(T),4.6(T)
2024,Jul,179399(T),170681(T),8718(T),4.9(T)
2024,Aug,179522(T),170787(T),8735(T),4.9(T)
2024,Sep,180042(T),171963(T),8079(T),4.5(T)
2024,Oct,180623(T),172288(T),8335(T),4.6(T)
2024,Nov,178265(T),169385(T),8880(T),5.0(T)
2024,Dec,177576(T),169194(T),8382(T),4.7(T)
2025,Jan,177493,168205,9288,5.2
2025,Feb,178057,168153,9904,5.6
2025,Mar,177897,169080,8817,5
2025,Apr,178846,170060,8786,4.9
2025,May,178294(P),169734(P),8560(P),4.8(P)
